id,title,description,ingredients,image
7,Cortado,"Like yin and yang, a cortado is the perfect balance of espresso and warm steamed milk. The milk is used to cut back on the espresso’s acidity.","['1oz Espresso', '1oz Steamed Milk']",https://upload.wikimedia.org/wikipedia/commons/1/16/Caf%C3%A9Cortado%28Tallat%29.jpg
8,Red Eye,"Named after those pesky midnight flights, a red eye can cure any tiresome morning. A full cup of hot coffee with an espresso shot mixed in, this will definitely get your heart racing.","['Coffee', 'Espresso']",https://upload.wikimedia.org/wikipedia/commons/f/f7/Linea_doubleespresso.jpg
9,Galão,"Originating in Portugal, this hot coffee drink is closely related to the latte and cappuccino. Only difference is it contains about twice as much foamed milk, making it a lighter drink compared to the other two.","['Espresso', 'Foamed milk']",https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Gal%C3%A3o.jpg/1280px-Gal%C3%A3o.jpg
10,Lungo,"A lungo is a long-pull espresso. The longer the pull, the more caffeine there is and the more ounces you can enjoy.",['Long pulled espresso'],https://upload.wikimedia.org/wikipedia/commons/6/6a/Caff%C3%A8_lungo.JPG
11,Macchiato,The macchiato is another espresso-based drink that has a small amount of foam on top. It’s the happy medium between a cappuccino and a doppio.,"['Espresso', 'Foam']",https://upload.wikimedia.org/wikipedia/commons/0/07/Caff%C3%A8_Espresso_Macchiato_Schiumato.jpg
12,Mocha,"For all you chocolate lovers out there, you’ll fall in love with a mocha (or maybe you already have). The mocha is a chocolate espresso drink with steamed milk and foam.","['Espresso', 'Steamed Milk', 'Chocolate']",https://upload.wikimedia.org/wikipedia/commons/f/f6/Mocaccino-Coffee.jpg
13,Ristretto,Ristretto is an espresso shot. It uses less hot water which creates a sweeter flavor compared to the bitter taste of a traditional shot of espresso or a doppio.,['Short pulled espresso'],https://upload.wikimedia.org/wikipedia/commons/1/12/Doppio_ristretto_Chiang_Mai.jpg
14,Flat White,This Aussie-born drink is basically a cappuccino without the foam or chocolate sprinkle. It’s an espresso drink with steamed milk.,"['Espresso', 'Steamed Milk']",https://upload.wikimedia.org/wikipedia/commons/6/6b/Flat_white_coffee_with_pretty_feather_pattern.jpg
15,Affogato,"The affogato is an excuse to enjoy a scoop of ice cream any time of day (and any time of year in my opinion). Served with a scoop of ice cream and a shot of espresso, or two.","['Espresso', 'Ice cream']",https://upload.wikimedia.org/wikipedia/commons/1/17/Vinoteca%2C_Smithfield%2C_London_%284485849609%29.jpg
16,Café au Lait,Café au lait is perfect for the coffee minimalist who wants a bit more flavor. Just add a splash of warm milk to your coffee and you’re all set!,"['Coffee', 'Steamed Milk']",https://upload.wikimedia.org/wikipedia/commons/0/06/Latte_art.jpg
17,Irish,"Irish coffee consists of black coffee, whiskey and sugar, topped with whipped cream.","['Coffee', 'Whiskey', 'Sugar', 'Cream']",https://upload.wikimedia.org/wikipedia/commons/6/61/Irish_coffee_glass.jpg
18,Guayoyo,Traditional venezuelan coffee prepared by filtering the ground coffee in a cone of cloth and pouring hot water on top of it. It's prefferably drinked wihout milk nor cream.,"['Coffee', 'Traditional', 'Hot Water']",https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/A_small_cup_of_coffee.JPG/640px-A_small_cup_of_coffee.JPG
19,Cortadito,Traditional cuban coffee method where a bit of freshly brewed coffee is mixed with sugar to create a highly sugared paste. Then add the rest of the coffee and stir adding milk until a 50/50 ratio is achieved.,"['Coffee', 'Traditional', 'Sugar', 'Milk']",https://upload.wikimedia.org/wikipedia/commons/9/9b/Cuban_coffee-_2013-04-05_14-30.jpg
20,Aguapanela Coffee,Bring panela and coffee to a boil in a small pan for 30 minutes until panela is melted. Brew your coffee using your favorite brewing technique but add the hot aguapanela instead of hot water. Delicious sweetened coffee is ready.,"['Coffee', 'Sweet', 'Panela', 'Traditional']",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Agua_Panela_con_Queso_Fresco_at_La_Puerta_Falsa_%285617496209%29.jpg/640px-Agua_Panela_con_Queso_Fresco_at_La_Puerta_Falsa_%285617496209%29.jpg
